trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint,shape_dist_traveled
1-1,00:00:00,00:00:00,67602759,1,1,0
1-1,00:00:32,00:00:32,67602394,2,0,152
1-1,00:02:12,00:02:12,67602332,3,0,608
1-1,00:03:34,00:03:34,67602966,4,0,988
1-1,00:04:22,00:04:22,67601684,5,0,1205
1-1,00:06:46,00:06:46,67602901,6,0,1863
1-1,00:07:24,00:07:24,67602937,7,0,2035
1-1,00:07:46,00:07:46,67602075,8,0,2144
1-1,00:08:20,00:08:20,67602679,9,0,2292
1-1,00:08:52,00:08:52,67602376,10,0,2442
1-1,00:09:32,00:09:32,67602857,11,0,2626
1-1,00:10:14,00:10:14,67602069,12,0,2816
1-1,00:11:14,00:11:14,67602738,13,0,3090
1-1,00:11:58,00:11:58,67602101,14,0,3297
1-1,00:12:46,00:12:46,67602619,15,0,3516
1-1,00:13:38,00:13:38,67601951,16,0,3754
1-1,00:14:22,00:14:22,67602840,17,0,3955
1-1,00:15:14,00:15:14,67602750,18,0,4196
1-1,00:16:00,00:16:00,67601778,19,1,4399
2-1,00:00:00,00:00:00,67601720,1,1,0
2-1,00:00:56,00:00:56,67602238,2,0,211
2-1,00:01:48,00:01:48,67602130,3,0,409
2-1,00:02:52,00:02:52,67602919,4,0,646
2-1,00:03:50,00:03:50,67601911,5,0,870
2-1,00:04:56,00:04:56,67602191,6,0,1112
2-1,00:05:48,00:05:48,67602796,7,0,1313
2-1,00:07:02,00:07:02,67602119,8,0,1590
2-1,00:07:56,00:07:56,67602013,9,0,1787
2-1,00:08:52,00:08:52,67601833,10,0,1998
2-1,00:09:52,00:09:52,67602595,11,0,2225
2-1,00:12:00,00:12:00,67602210,12,0,2708
2-1,00:13:46,00:13:46,67602952,13,0,3101
2-1,00:16:00,00:16:00,67602543,14,1,3602
3-1,00:00:00,00:00:00,67602547,1,1,0
3-1,00:02:34,00:02:34,67602927,2,0,645
3-1,00:03:52,00:03:52,67601869,3,0,966
3-1,00:04:42,00:04:42,67602233,4,0,1172
3-1,00:05:44,00:05:44,67602390,5,0,1433
3-1,00:06:32,00:06:32,67602723,6,0,1637
3-1,00:07:34,00:07:34,67602935,7,0,1892
3-1,00:10:16,00:10:16,67602777,8,0,2568
3-1,00:10:46,00:10:46,67602341,9,0,2693
3-1,00:11:22,00:11:22,67602890,10,0,2842
3-1,00:12:36,00:12:36,67602571,11,0,3147
3-1,00:13:14,00:13:14,67602808,12,0,3301
3-1,00:14:26,00:14:26,67602100,13,0,3600
3-1,00:15:22,00:15:22,67602205,14,0,3840
3-1,00:16:12,00:16:12,67602755,15,0,4045
3-1,00:16:46,00:16:46,67601780,16,0,4185
3-1,00:18:26,00:18:26,67602921,17,0,4600
3-1,00:19:10,00:19:10,67602788,18,0,4780
3-1,00:20:10,00:20:10,67601986,19,0,5031
3-1,00:20:58,00:20:58,67601994,20,0,5236
3-1,00:21:26,00:21:26,67602743,21,0,5349
3-1,00:23:08,00:23:08,67601784,22,0,5772
3-1,00:24:00,00:24:00,67602916,23,0,5988
3-1,00:24:36,00:24:36,67602048,24,0,6137
3-1,00:25:14,00:25:14,67602035,25,0,6296
3-1,00:25:34,00:25:34,67602250,26,0,6376
3-1,00:26:10,00:26:10,67602778,27,0,6533
3-1,00:27:56,00:27:56,67601715,28,0,6968
3-1,00:28:24,00:28:24,67602071,29,0,7083
3-1,00:28:50,00:28:50,67602201,30,0,7196
3-1,00:29:32,00:29:32,67602366,31,0,7371
3-1,00:30:14,00:30:14,67602092,32,0,7547
3-1,00:31:22,00:31:22,67601848,33,0,7822
3-1,00:32:24,00:32:24,67602589,34,0,8081
3-1,00:32:54,00:32:54,67602351,35,0,8205
3-1,00:33:40,00:33:40,67602469,36,0,8397
3-1,00:34:54,00:34:54,67602737,37,0,8703
3-1,00:35:34,00:35:34,67601923,38,0,8875
3-1,00:36:14,00:36:14,67602340,39,0,9036
3-1,00:36:50,00:36:50,67602526,40,0,9192
3-1,00:37:42,00:37:42,67602195,41,0,9408
3-1,00:38:20,00:38:20,67602083,42,0,9563
3-1,00:39:00,00:39:00,67602254,43,1,9725
4-1,00:00:00,00:00:00,67602294,1,1,0
4-1,00:00:22,00:00:22,67602021,2,0,95
4-1,00:00:58,00:00:58,67602500,3,0,248
4-1,00:01:34,00:01:34,67602287,4,0,397
4-1,00:02:32,00:02:32,67602636,5,0,629
4-1,00:02:50,00:02:50,67602758,6,0,704
4-1,00:03:06,00:03:06,67601896,7,0,777
4-1,00:03:48,00:03:48,67602726,8,0,950
4-1,00:04:30,00:04:30,67602843,9,0,1123
4-1,00:05:34,00:05:34,67602316,10,0,1384
4-1,00:06:30,00:06:30,67602614,11,0,1616
4-1,00:07:02,00:07:02,67601913,12,0,1747
4-1,00:08:00,00:08:00,67601832,13,0,1993
4-1,00:09:10,00:09:10,67602266,14,0,2277
4-1,00:09:52,00:09:52,67602891,15,0,2457
4-1,00:10:34,00:10:34,67602158,16,0,2630
4-1,00:11:04,00:11:04,67601792,17,0,2749
4-1,00:11:30,00:11:30,67601747,18,0,2860
4-1,00:12:04,00:12:04,67602833,19,0,3000
4-1,00:12:50,00:12:50,67602145,20,0,3193
4-1,00:14:18,00:14:18,67602438,21,0,3554
4-1,00:14:50,00:14:50,67601824,22,0,3691
4-1,00:15:28,00:15:28,67602580,23,0,3841
4-1,00:16:08,00:16:08,67602584,24,0,4007
4-1,00:17:26,00:17:26,67601920,25,0,4333
4-1,00:18:00,00:18:00,67601690,26,0,4471
4-1,00:19:18,00:19:18,67601743,27,0,4793
4-1,00:20:10,00:20:10,67602371,28,0,5013
4-1,00:21:28,00:21:28,67602295,29,0,5333
4-1,00:25:24,00:25:24,67601870,30,0,6308
4-1,00:26:10,00:26:10,67602581,31,0,6502
4-1,00:28:52,00:28:52,67602099,32,0,7170
4-1,00:29:46,00:29:46,67602810,33,0,7398
4-1,00:30:52,00:30:52,67602493,34,0,7664
4-1,00:32:20,00:32:20,67601952,35,0,8034
4-1,00:33:58,00:33:58,67602870,36,0,8437
4-1,00:35:12,00:35:12,67602346,37,0,8740
4-1,00:36:02,00:36:02,67601034,38,0,8947
4-1,00:37:18,00:37:18,67602267,39,0,9261
4-1,00:39:00,00:39:00,67602423,40,1,9683
5-1,00:00:00,00:00:00,67602826,1,1,0
5-1,00:04:32,00:04:32,67602184,2,0,1137
5-1,00:05:22,00:05:22,67601783,3,0,1343
5-1,00:07:58,00:07:58,67602757,4,0,1996
5-1,00:10:52,00:10:52,67601905,5,0,2720
5-1,00:11:58,00:11:58,67602661,6,0,2993
5-1,00:13:22,00:13:22,67602550,7,0,3339
5-1,00:16:48,00:16:48,67602686,8,0,4203
5-1,00:17:46,00:17:46,67602125,9,0,4440
5-1,00:19:12,00:19:12,67602626,10,0,4796
5-1,00:20:16,00:20:16,67601826,11,0,5061
5-1,00:20:58,00:20:58,67602848,12,0,5237
5-1,00:21:40,00:21:40,67602177,13,0,5413
5-1,00:22:46,00:22:46,67601983,14,0,5692
5-1,00:25:58,00:25:58,67602844,15,0,6488
5-1,00:26:52,00:26:52,67602334,16,0,6714
